color_name,hex,R,G,B
Black,#000000,0,0,0
White,#FFFFFF,255,255,255
Red,#FF0000,255,0,0
Lime,#00FF00,0,255,0
Blue,#0000FF,0,0,255
Yellow,#FFFF00,255,255,0
Cyan,#00FFFF,0,255,255
Magenta,#FF00FF,255,0,255
Silver,#C0C0C0,192,192,192
Gray,#808080,128,128,128
Maroon,#800000,128,0,0
Olive,#808000,128,128,0
Green,#008000,0,128,0
Purple,#800080,128,0,128
Teal,#008080,0,128,128
Navy,#000080,0,0,128
color_name,hex,R,G,B
Black,#000000,0,0,0
White,#FFFFFF,255,255,255
Red,#FF0000,255,0,0
Lime,#00FF00,0,255,0
Blue,#0000FF,0,0,255
Yellow,#FFFF00,255,255,0
Cyan,#00FFFF,0,255,255
Magenta,#FF00FF,255,0,255
Silver,#C0C0C0,192,192,192
Gray,#808080,128,128,128
Maroon,#800000,128,0,0
Olive,#808000,128,128,0
Green,#008000,0,128,0
Purple,#800080,128,0,128
Teal,#008080,0,128,128
Navy,#000080,0,0,128
Orange,#FFA500,255,165,0
Gold,#FFD700,255,215,0
Pink,#FFC0CB,255,192,203
Brown,#A52A2A,165,42,42
Tan,#D2B48C,210,180,140
Beige,#F5F5DC,245,245,220
Coral,#FF7F50,255,127,80
Salmon,#FA8072,250,128,114
Khaki,#F0E68C,240,230,140
Lavender,#E6E6FA,230,230,250
Turquoise,#40E0D0,64,224,208
Indigo,#4B0082,75,0,130
Violet,#EE82EE,238,130,238
Orchid,#DA70D6,218,112,214
Plum,#DDA0DD,221,160,221
Crimson,#DC143C,220,20,60
FireBrick,#B22222,178,34,34
Tomato,#FF6347,255,99,71
Chocolate,#D2691E,210,105,30
Sienna,#A0522D,160,82,45
Peru,#CD853F,205,133,63
Linen,#FAF0E6,250,240,230
SeaGreen,#2E8B57,46,139,87
SpringGreen,#00FF7F,0,255,127
MintCream,#F5FFFA,245,255,250
HoneyDew,#F0FFF0,240,255,240
Azure,#F0FFFF,240,255,255
Ivory,#FFFFF0,255,255,240
AliceBlue,#F0F8FF,240,248,255
GhostWhite,#F8F8FF,248,248,255
Snow,#FFFAFA,255,250,250
LemonChiffon,#FFFACD,255,250,205
OldLace,#FDF5E6,253,245,230
FloralWhite,#FFFAF0,255,250,240
Gainsboro,#DCDCDC,220,220,220
SlateGray,#708090,112,128,144
DarkSlateGray,#2F4F4F,47,79,79
LightSlateGray,#778899,119,136,153
MediumSlateBlue,#7B68EE,123,104,238
RoyalBlue,#4169E1,65,105,225
DodgerBlue,#1E90FF,30,144,255
SkyBlue,#87CEEB,135,206,235
DeepSkyBlue,#00BFFF,0,191,255
SteelBlue,#4682B4,70,130,180
LightSkyBlue,#87CEFA,135,206,250
MidnightBlue,#191970,25,25,112
SlateBlue,#6A5ACD,106,90,205
MediumBlue,#0000CD,0,0,205
DarkBlue,#00008B,0,0,139
CornflowerBlue,#6495ED,100,149,237